Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,Question Key,Response
1,1570472148719,07/10/2019 18:15:48,1570472147189,-7,07/10/2019 11:15:47,9792,16,questionnaire-mie5,,3157655,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,IPANAT SAMFE,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,BEGIN QUESTIONNAIRE,
2,1570472161323,07/10/2019 18:16:01,1570472159845,-7,07/10/2019 11:15:59,9792,16,questionnaire-mie5,,3157655,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,IPANAT SAMFE,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,happy,3 - fits quite well
3,1570472161526,07/10/2019 18:16:01,1570472159849,-7,07/10/2019 11:15:59,9792,16,questionnaire-mie5,,3157655,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,IPANAT SAMFE,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,happy-quantised,3
4,1570472161526,07/10/2019 18:16:01,1570472159849,-7,07/10/2019 11:15:59,9792,16,questionnaire-mie5,,3157655,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,IPANAT SAMFE,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,helpless,1 - doesn't fit at all
5,1570472161526,07/10/2019 18:16:01,1570472159849,-7,07/10/2019 11:15:59,9792,16,questionnaire-mie5,,3157655,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,IPANAT SAMFE,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,helpless-quantised,1
6,1570472161526,07/10/2019 18:16:01,1570472159849,-7,07/10/2019 11:15:59,9792,16,questionnaire-mie5,,3157655,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,IPANAT SAMFE,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,energetic,2 - fits somewhat
7,1570472161526,07/10/2019 18:16:01,1570472159850,-7,07/10/2019 11:15:59,9792,16,questionnaire-mie5,,3157655,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,IPANAT SAMFE,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,energetic-quantised,2
8,1570472161526,07/10/2019 18:16:01,1570472159851,-7,07/10/2019 11:15:59,9792,16,questionnaire-mie5,,3157655,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,IPANAT SAMFE,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,tense,1 - doesn't fit at all
9,1570472161526,07/10/2019 18:16:01,1570472159851,-7,07/10/2019 11:15:59,9792,16,questionnaire-mie5,,3157655,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,IPANAT SAMFE,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,tense-quantised,1
10,1570472161526,07/10/2019 18:16:01,1570472159851,-7,07/10/2019 11:15:59,9792,16,questionnaire-mie5,,3157655,A2WVCXVSE0YGML,872729,,complete,rxfdtg,,computer,Desktop or Laptop,Windows 10,Firefox 69.0,1600x1200,1600x1064,words,IPANAT SAMFE,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 7 and 9,,,,,,,,,,order7,,,order6,,,Continue,,,Continue,ABFCED,Images loaded ok,cheerful,3 - fits quite well
